ResearcherID,Authors,Year,DOI,Journal,LakeName,LakeTrophicState,Fsed_oxy_value,Fsed_oxy_units,Ksed_oxy_value,Ksed_oxy_units,Theta_sed_oxy,Notes
CCC,Matisoff & Neeson,2005,https://www.researchgate.net/publication/240446433_Oxygen_Concentration_and_Demand_in_Lake_Erie_Sediments,JGLR,Erie Central Basin Aug 2002,Eutrophic,4.00E-08,mol/L/s,NA,NA,NA,Results page 292'
CCC,Matisoff & Neeson,2005,https://www.researchgate.net/publication/240446433_Oxygen_Concentration_and_Demand_in_Lake_Erie_Sediments,JGLR,Erie East Basin Aug 2002,Eutrophic,8.30E-09,mol/L/s,NA,NA,NA,Results page 292'
CCC,Matisoff & Neeson,2005,https://www.researchgate.net/publication/240446433_Oxygen_Concentration_and_Demand_in_Lake_Erie_Sediments,JGLR,Erie Central Basin June 2002,Eutrophic,4.30E-08,mol/L/s,NA,NA,NA,Results page 292'
CCC,Matisoff & Neeson,2005,https://www.researchgate.net/publication/240446433_Oxygen_Concentration_and_Demand_in_Lake_Erie_Sediments,JGLR,Erie East Basin June 2002,Eutrophic,8.10E-09,mol/L/s,NA,NA,NA,Results page 292'
CCC,"Josiam, RM; Stefan, HG",1999,https://onlinelibrary-wiley-com.ezproxy.lib.vt.edu/doi/pdfdirect/10.1111/j.1752-1688.1999.tb03601.x,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,"Diamond Lake, MN, USA",Eutrophic,NA,NA,NA,NA,1.065,Did not separate out flu rate
CCC,"Higashino, M; Stefan, HG",2005,https://www.sciencedirect.com/science/article/pii/S0043135405002745?via%3Dihub,WATER RESEARCH,"Model study, no data",NA,NA,NA,NA,NA,NA,
CSF,"NAKAMURA, Y; STEFAN, HG",1994,https://www-webofscience-com.lib-proxy01.skidmore.edu/wos/woscc/full-record/WOS:A1994PH58200004,JOURNAL OF ENVIRONMENTAL ENGINEERING,"Rectangular, two-layered lake (model study)",NA,NA,NA,NA,NA,NA,
CSF,"Mackenthun, AA; Stefan, HG",1998,https://www-webofscience-com.lib-proxy01.skidmore.edu/wos/woscc/full-record/WOS:000072030200007,JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,Laboratory experiment - sawdust ,Eutrophic,2.7,g/m2/d,NA,NA,NA,"Results page 228, SODmax = independent of water velocity"
CSF,"Mackenthun, AA; Stefan, HG",1998,https://www-webofscience-com.lib-proxy01.skidmore.edu/wos/woscc/full-record/WOS:000072030200008,JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,Laboratory experiment - Diamond Lake ,Eutrophic,1,g/m2/d,NA,NA,NA,"Results page 228, SODmax = independent of water velocity"
CSF,"Mackenthun, AA; Stefan, HG",1998,https://www-webofscience-com.lib-proxy01.skidmore.edu/wos/woscc/full-record/WOS:000072030200009,JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,Laboratory experiment - Tiger Lake ,Eutrophic,2.7,g/m2/d,NA,NA,NA,"Results page 228, SODmax = independent of water velocity"
CSF,"Zhu, Dantong; Cheng, Xiangju; Sample, David J.; Yazdi, Mohammad Nayeb",2019,https://www.sciencedirect.com/science/article/pii/S0048969719327561,SCIENCE OF THE TOTAL ENVIRONMENT,Pearl River,NA,NA,NA,NA,NA,NA,
CSF,"Izaurralde, RC; McGill, WB; Williams, JR; Jones, CD; Link, RP; Manowitz, DH; Schwab, DE; Zhang, XS; Robertson, GP; Millar, N",2017,https://www-webofscience-com.lib-proxy01.skidmore.edu/wos/woscc/full-record/WOS:000409287500030,Ecological Modelling,Terrestrial ecosystem model,NA,NA,NA,NA,NA,NA,
JPM,"Mueller, B., Bryant, L.D., Matzinger, A., Wueest, A.",2012,https://doi.org/10.1021/es301422r,Environmental Science and Technology,Sempachersee,Eutrophic,0.21,g/m2/d,NA,NA,NA,"""Fluxes of Reduced Substances from the Sediment and the Estimated O2 Equivalent Fluxes "", not specifically used in MM equation. See notes"
JPM,"Mueller, B., Bryant, L.D., Matzinger, A., Wueest, A.",2012,https://doi.org/10.1021/es301422r,Environmental Science and Technology,Hallwilersee,Eutrophic,0.28,g/m2/d,NA,NA,NA,"""Fluxes of Reduced Substances from the Sediment and the Estimated O2 Equivalent Fluxes "", not specifically used in MM equation. See notes"
JPM,"Mueller, B., Bryant, L.D., Matzinger, A., Wueest, A.",2012,https://doi.org/10.1021/es301422r,Environmental Science and Technology,Murtensee,Eutrophic,0.32,g/m2/d,NA,NA,NA,"""Fluxes of Reduced Substances from the Sediment and the Estimated O2 Equivalent Fluxes "", not specifically used in MM equation. See notes"
JPM,"Mueller, B., Bryant, L.D., Matzinger, A., Wueest, A.",2012,https://doi.org/10.1021/es301422r,Environmental Science and Technology,Pfäffikersee,Eutrophic,0.36,g/m2/d,NA,NA,NA,"""Fluxes of Reduced Substances from the Sediment and the Estimated O2 Equivalent Fluxes "", not specifically used in MM equation. See notes"
JPM,"Mueller, B., Bryant, L.D., Matzinger, A., Wueest, A.",2012,https://doi.org/10.1021/es301422r,Environmental Science and Technology,Türlersee,Eutrophic,0.44,g/m2/d,NA,NA,NA,"""Fluxes of Reduced Substances from the Sediment and the Estimated O2 Equivalent Fluxes "", not specifically used in MM equation. See notes"
JPM,"Mueller, B., Bryant, L.D., Matzinger, A., Wueest, A.",2012,https://doi.org/10.1021/es301422r,Environmental Science and Technology,Rotsee,Eutrophic,0.46,g/m2/d,NA,NA,NA,"""Fluxes of Reduced Substances from the Sediment and the Estimated O2 Equivalent Fluxes "", not specifically used in MM equation. See notes"
JPM,"Mueller, B., Bryant, L.D., Matzinger, A., Wueest, A.",2012,https://doi.org/10.1021/es301422r,Environmental Science and Technology,Baldeggersee,Eutrophic,0.55,g/m2/d,NA,NA,NA,"""Fluxes of Reduced Substances from the Sediment and the Estimated O2 Equivalent Fluxes "", not specifically used in MM equation. See notes"
JPM,"Lam D.C.L., Schertzer W.M., and Fraser, A.S.",1987,https://doi.org/10.1016/S0380-1330(87)71690-6,Journal of Great Lakes Research,Lake Erie,Meso-Eutro,0.13-0.22,g/m2/d,1.4,mg/L,NA,"Paper bases these values on literature (Snodgrass 1987 and Lam et al 1987), filling in values for Lake Erie, rather than actively measuring the parameters"
CSF,"Galic, Nika; Hawkins, Tanner; Forbes, Valery E",2019,,Science of the Total Environment,Aquatic ecosystems,Eutrophic,1.19,NA,0.78,mg/L,,
CSF,"Galic, Nika; Hawkins, Tanner; Forbes, Valery E",2019,https://www.sciencedirect.com/science/article/pii/S0048969718341214?casa_token=jLVaHNrOB2cAAAAA:Bs1S1hvyhHMeIZxuEeQF-exKc7_9v5da8KfRJtnMbAkk2wSs8etHhxHy0l7kXf84Q2Xt457c2G51,Science of the Total Environment,Aquatic ecosystems,Eutrophic,0.52,NA,1.77,mg/L,,
CSF,"Galic, Nika; Hawkins, Tanner; Forbes, Valery E",2019,https://www.sciencedirect.com/science/article/pii/S0048969718341214?casa_token=jLVaHNrOB2cAAAAA:Bs1S1hvyhHMeIZxuEeQF-exKc7_9v5da8KfRJtnMbAkk2wSs8etHhxHy0l7kXf84Q2Xt457c2G52,Science of the Total Environment,Aquatic ecosystems,Eutrophic,1.28,NA,3.66,mg/L,,
CSF,"Galic, Nika; Hawkins, Tanner; Forbes, Valery E",2019,https://www.sciencedirect.com/science/article/pii/S0048969718341214?casa_token=jLVaHNrOB2cAAAAA:Bs1S1hvyhHMeIZxuEeQF-exKc7_9v5da8KfRJtnMbAkk2wSs8etHhxHy0l7kXf84Q2Xt457c2G53,Science of the Total Environment,Aquatic ecosystems,Eutrophic,1.31,NA,6.44,mg/L,,
CSF,Fiona H. M. Tang and Federico Maggi,2018,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2017JG004165,Advancing Earth and Space Science,Aquatic ecosystems,Eutrophic,NA,NA,6.567E10−5,mol/L,,
CSF,"Tasnim, B., Fang, X., Hayworth, J. S., & Tian, D.",2021,https://www.proquest.com/earthatmosphericaquatic/docview/2558957247/F22CA0B6D39C40CAPQ/3?accountid=13894,Water,Lake Elmo,Mesotrophic,1.7,g/m2/d,NA,NA,NA,20 degrees C
CSF,"Smits, J. G. C., & Jan K L van, B.",2013,https://www.proquest.com/earthatmosphericaquatic/docview/1382397006/F22CA0B6D39C40CAPQ/14?accountid=13894,PLoS One,Lake Veluwe,Oligotrophic,NA,NA,4,mg/L,NA,20 degrees C
LGTN,"Cornett, J. L",1978,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Brompton,Oligotrophic,268,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1978,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Central,Oligotrophic,776,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1978,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Lovering,Mesotrophic,290,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1978,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Lyster,Oligotrophic,283,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1978,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Stukely,Oligotrophic,232,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1979,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Brompton,Oligotrophic,326,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1979,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Central,Mesotrophic,586,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1979,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Fitch,Mesotrophic,354,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1979,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Lovering,Oligotrophic,293,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1979,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Lyster,Oligotrophic,288,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1979,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Magog,Eutrophic,523,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1979,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Massawippi,Mesotrophic,587,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1979,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,North,Oligotrophic,538,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1979,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Orford,Oligotrophic,304,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1979,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Stukely,Oligotrophic,243,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1979,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Truite,Oligotrophic,207,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1980,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Brompton,Oligotrophic,389,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1980,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Central,Mesotrophic,715,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1980,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Fitch,Mesotrophic,519,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1980,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,PetiteBrompton,Oligotrophic,414,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1980,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Lovering,Oligotrophic,367,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1980,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Lyster,Oligotrophic,348,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1980,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Magog,Eutrophic,649,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1980,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Massawippi,Mesotrophic,710,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1980,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,North,Mesotrophic,584,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1980,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Orford,Oligotrophic,408,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1980,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Stukely,Oligotrophic,309,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,"Cornett, J. L",1980,https://escholarship.mcgill.ca/concern/theses/2514nm21t,McGill University Thesis,Truibe,Oligotrophic,208,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Kerekes 1974,1969,https://cdnsciencepub.com/doi/abs/10.1139/f74-091,Journal of the Fisheries Research Board of Canada,Michin,Oligotrophic,284,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Kerekes 1974,1969,https://cdnsciencepub.com/doi/abs/10.1139/f74-091,Journal of the Fisheries Research Board of Canada,Bluehill,Oligotrophic,134,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Nicholls 1976,1973,https://www.osti.gov/etdeweb/biblio/6501671,,Harp,Mesotrophic,314,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Nicholls 1976,1973,https://www.osti.gov/etdeweb/biblio/6501671,,Jerry,Mesotrophic,371,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Nicholls 1975,1971,NA,Government report,Stoney,Mesotrophic,580,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Jonasson et. al. 1974,1969,https://www.jstor.org/stable/3543944#metadata_info_tab_contents,,Esrom,Eutrophic,653,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Bella 1970,1965,https://ascelibrary.org/doi/abs/10.1061/JSEDAI.0001173,Journal of the Sanitary Engineering Division,Sammamish,Mesotrophic,760,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,St. John 1976,1974,See in Cornett's thesis,Government Report,Kamloops,Oligotrophic,263,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Michalski et. al. 1973,1974,See in Cornett's thesis,Government Report,Gravenhurst,Mesotrophic,371,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Michalski et. al. 1973,1973,See in Cornett's thesis,Government Report,Gravenhurst,Eutrophic,297,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Michalski et. al. 1973,1970,See in Cornett's thesis,Government Report,Gravenhurst,Eutrophic,232,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Michalski et. al. 1973,1969,See in Cornett's thesis,Government Report,Gravenhurst,Eutrophic,333,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Von Zimmerman 1977,1972,https://link.springer.com/article/10.1007/BF02502715,Swiss journal of hydrology,Walensee,Mesotrophic,513,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Von Zimmerman 1977,1973,https://link.springer.com/article/10.1007/BF02502715,Swiss journal of hydrology,Walensee,Mesotrophic,928,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Von Zimmerman 1977,1974,https://link.springer.com/article/10.1007/BF02502715,Swiss journal of hydrology,Walensee,Mesotrophic,998,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Stadleman 1971,1969,https://link.springer.com/article/10.1007/BF02503975,Schweizerische Zeitschrift für Hydrologie,HorwerBucht,Mesotrophic,649,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Von Zimmerman 1969,1967,Not available online (See in Cornett's thesis),Schweizerische Zeitschrift für Hydrologie,HorwerBucht,Mesotrophic,625,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Von Zimmerman 1969,1966,Not available online (See in Cornett's thesis),Schweizerische Zeitschrift für Hydrologie,HorwerBucht,Mesotrophic,642,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Shapiro 1959,1957,https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.1960.5.2.0216,Limnology and Oceanography,Washington,Mesotrophic,652,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Shapiro 1959,1958,https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.1960.5.2.0216,Limnology and Oceanography,Washington,Mesotrophic,670,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Rigler,1976,Unpublished (See in Cornett's thesis),NA,Bob,Oligotrophic,309,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Michalski et. al. 1973,1969,See in Cornett's thesis,Government Report,Skeleton,Oligotrophic,266,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Michalski et. al. 1973,1969,See in Cornett's thesis,Government Report,Dudley,Oligotrophic,285,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Langford,1968,Unpublished (See in Cornett's thesis),NA,Clarke,Oligotrophic,104,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Langford,1968,Unpublished (See in Cornett's thesis),NA,Kearney,Mesotrophic,148,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Langford,1968,Unpublished (See in Cornett's thesis),NA,Brewer,Oligotrophic,142,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
LGTN,Langford,1968,Unpublished (See in Cornett's thesis),NA,Costello,Oligotrophic,157,mg/m2/d,NA,NA,NA,The column 'year' is when the measurements were taken
